Date,Shift,Machine ID,Start Time,Duration,Reason,Category
2026-07-06,A,M301,07:50,10,Material delay,Mechanical
2026-07-06,A,M401,12:00,4,Minor stoppage,Mechanical
2026-07-06,B,M101,13:00,11,Tool adjustment,Process
2026-07-06,B,M301,09:00,10,Material delay,Mechanical
2026-07-06,B,M401,15:10,9,Tool adjustment,Process
2026-07-06,C,M201,07:20,6,Routine reset,Mechanical
2026-07-07,A,M101,11:00,3,Routine reset,Process
2026-07-07,A,M201,11:40,7,Tool adjustment,Material
2026-07-07,B,M201,08:50,4,Material delay,Material
2026-07-07,B,M401,09:30,7,Material delay,Process
2026-07-07,C,M101,13:10,10,Tool adjustment,Material
2026-07-07,C,M301,12:20,9,Tool adjustment,Mechanical
2026-07-07,C,M401,08:20,3,Minor stoppage,Material
2026-07-08,A,M101,14:50,10,Tool adjustment,Process
2026-07-08,A,M201,15:50,12,Minor stoppage,Mechanical
2026-07-08,A,M401,13:50,11,Tool adjustment,Process
2026-07-08,B,M101,08:10,11,Material delay,Process
2026-07-08,B,M201,10:40,8,Material delay,Process
2026-07-08,B,M401,16:20,4,Material delay,Material
2026-07-08,C,M201,11:30,4,Routine reset,Process
2026-07-08,C,M301,14:30,7,Material delay,Process
2026-07-08,C,M401,07:10,8,Tool adjustment,Material
2026-07-09,A,M401,15:20,5,Material delay,Material
2026-07-09,B,M201,17:20,8,Material delay,Process
2026-07-09,B,M401,15:00,9,Routine reset,Material
2026-07-09,C,M101,16:20,9,Tool adjustment,Material
2026-07-09,C,M201,13:10,7,Tool adjustment,Mechanical
2026-07-09,C,M301,12:00,9,Tool adjustment,Mechanical
2026-07-09,C,M401,17:40,5,Routine reset,Material
2026-07-10,A,M201,10:10,6,Tool adjustment,Material
2026-07-10,A,M401,15:10,5,Routine reset,Mechanical
2026-07-10,B,M201,13:30,5,Tool adjustment,Mechanical
2026-07-10,B,M301,09:40,12,Material delay,Material
2026-07-10,C,M201,11:40,6,Routine reset,Material
2026-07-11,A,M101,15:40,7,Material delay,Mechanical
2026-07-11,A,M401,09:00,6,Tool adjustment,Process
2026-07-11,B,M101,16:20,3,Tool adjustment,Material
2026-07-11,B,M201,13:30,5,Material delay,Material
2026-07-11,B,M301,16:10,5,Material delay,Process
2026-07-11,B,M401,11:30,4,Material delay,Process
2026-07-11,C,M101,13:10,12,Tool adjustment,Mechanical
2026-07-11,C,M301,11:40,7,Minor stoppage,Material
2026-07-11,C,M401,16:10,11,Routine reset,Process
2026-07-12,A,M201,15:30,9,Minor stoppage,Material
2026-07-12,A,M301,09:00,11,Minor stoppage,Mechanical
2026-07-12,B,M101,13:10,3,Routine reset,Process
2026-07-12,B,M201,11:40,10,Minor stoppage,Mechanical
2026-07-12,B,M301,09:50,12,Material delay,Material
2026-07-12,B,M401,14:10,3,Routine reset,Mechanical
2026-07-12,C,M101,09:40,12,Material delay,Process
2026-07-12,C,M201,11:50,7,Tool adjustment,Material
2026-07-12,C,M301,10:40,6,Minor stoppage,Process
2026-07-13,A,M301,08:10,6,Minor stoppage,Process
2026-07-13,A,M401,15:50,8,Routine reset,Mechanical
2026-07-13,B,M101,09:10,9,Routine reset,Process
2026-07-13,B,M201,13:50,10,Material delay,Material
2026-07-13,B,M401,10:30,5,Routine reset,Mechanical
2026-07-13,C,M101,11:10,11,Tool adjustment,Mechanical
2026-07-13,C,M201,07:00,11,Routine reset,Material
2026-07-13,C,M301,14:20,3,Routine reset,Process
2026-07-13,C,M401,12:30,11,Material delay,Process
2026-07-14,A,M101,15:00,12,Material delay,Material
2026-07-14,A,M301,08:00,8,Routine reset,Process
2026-07-14,B,M101,14:30,12,Tool adjustment,Mechanical
2026-07-14,B,M301,15:30,3,Material delay,Mechanical
2026-07-14,B,M401,09:00,4,Material delay,Process
2026-07-14,C,M401,12:20,5,Minor stoppage,Process
2026-07-15,A,M401,17:00,12,Routine reset,Process
2026-07-15,B,M201,16:30,5,Routine reset,Material
2026-07-15,B,M301,08:30,10,Minor stoppage,Material
2026-07-15,B,M401,14:50,7,Tool adjustment,Mechanical
2026-07-15,C,M301,16:50,12,Tool adjustment,Process
2026-07-15,C,M401,15:20,3,Material delay,Material
2026-07-16,A,M101,13:20,11,Routine reset,Process
2026-07-16,A,M301,14:00,7,Routine reset,Process
2026-07-16,A,M401,13:20,7,Material delay,Process
2026-07-16,B,M101,16:20,11,Material delay,Process
2026-07-16,B,M201,07:50,3,Minor stoppage,Process
2026-07-16,B,M301,10:00,9,Minor stoppage,Mechanical
2026-07-16,C,M101,13:30,6,Minor stoppage,Mechanical
2026-07-16,C,M401,17:30,12,Material delay,Material
2026-07-17,A,M101,14:00,7,Routine reset,Mechanical
2026-07-17,A,M201,16:20,4,Minor stoppage,Process
2026-07-17,A,M401,09:20,3,Routine reset,Material
2026-07-17,B,M101,11:20,11,Minor stoppage,Material
2026-07-17,B,M201,07:40,4,Routine reset,Mechanical
2026-07-17,B,M301,12:30,8,Tool adjustment,Mechanical
2026-07-17,B,M401,15:40,10,Material delay,Material
2026-07-17,C,M101,08:20,4,Tool adjustment,Material
2026-07-17,C,M401,10:50,12,Material delay,Mechanical
2026-07-18,A,M101,09:10,10,Minor stoppage,Material
2026-07-18,A,M301,09:40,12,Minor stoppage,Mechanical
2026-07-18,B,M201,17:50,7,Material delay,Process
2026-07-18,B,M301,11:20,8,Material delay,Material
2026-07-18,B,M401,12:50,12,Material delay,Mechanical
2026-07-18,C,M101,16:50,9,Minor stoppage,Process
2026-07-18,C,M201,07:30,9,Material delay,Process
2026-07-18,C,M301,14:20,7,Minor stoppage,Material
2026-07-18,C,M401,07:50,4,Routine reset,Mechanical
2026-07-19,B,M101,14:00,10,Material delay,Material
2026-07-19,B,M201,11:00,5,Routine reset,Mechanical
2026-07-19,B,M401,15:50,7,Minor stoppage,Process
2026-07-20,A,M101,12:30,12,Tool adjustment,Mechanical
2026-07-20,A,M201,08:40,4,Material delay,Process
2026-07-20,B,M201,15:50,3,Minor stoppage,Material
2026-07-20,C,M201,17:10,8,Tool adjustment,Process
2026-07-20,C,M301,09:50,4,Material delay,Material
2026-07-20,C,M401,08:00,6,Tool adjustment,Mechanical
2026-07-21,A,M101,13:50,7,Material delay,Process
2026-07-21,A,M201,08:10,6,Material delay,Process
