Date,Shift,Line,Product,Target,Actual
2026-07-06,A,L1,Brake Disc,1000,997
2026-07-06,A,L2,Gear Housing,800,784
2026-07-06,A,L3,Brake Disc,1100,1094
2026-07-06,A,L4,Bearing Housing,900,885
2026-07-06,B,L1,Brake Disc,1000,996
2026-07-06,B,L2,Gear Housing,800,796
2026-07-06,B,L3,Brake Disc,1100,1114
2026-07-06,B,L4,Bearing Housing,900,903
2026-07-06,C,L1,Brake Disc,1000,986
2026-07-06,C,L2,Gear Housing,800,790
2026-07-06,C,L3,Brake Disc,1100,1076
2026-07-06,C,L4,Bearing Housing,900,873
2026-07-07,A,L1,Brake Disc,1000,986
2026-07-07,A,L2,Gear Housing,800,794
2026-07-07,A,L3,Brake Disc,1100,1080
2026-07-07,A,L4,Bearing Housing,900,891
2026-07-07,B,L1,Brake Disc,1000,999
2026-07-07,B,L2,Gear Housing,800,811
2026-07-07,B,L3,Brake Disc,1100,1100
2026-07-07,B,L4,Bearing Housing,900,899
2026-07-07,C,L1,Brake Disc,1000,974
2026-07-07,C,L2,Gear Housing,800,784
2026-07-07,C,L3,Brake Disc,1100,1070
2026-07-07,C,L4,Bearing Housing,900,876
2026-07-08,A,L1,Brake Disc,1000,995
2026-07-08,A,L2,Gear Housing,800,793
2026-07-08,A,L3,Brake Disc,1100,1080
2026-07-08,A,L4,Bearing Housing,900,896
2026-07-08,B,L1,Brake Disc,1000,996
2026-07-08,B,L2,Gear Housing,800,803
2026-07-08,B,L3,Brake Disc,1100,1116
2026-07-08,B,L4,Bearing Housing,900,914
2026-07-08,C,L1,Brake Disc,1000,977
2026-07-08,C,L2,Gear Housing,800,776
2026-07-08,C,L3,Brake Disc,1100,1085
2026-07-08,C,L4,Bearing Housing,900,872
2026-07-09,A,L1,Brake Disc,1000,982
2026-07-09,A,L2,Gear Housing,800,785
2026-07-09,A,L3,Brake Disc,1100,1093
2026-07-09,A,L4,Bearing Housing,900,884
2026-07-09,B,L1,Brake Disc,1000,1000
2026-07-09,B,L2,Gear Housing,800,813
2026-07-09,B,L3,Brake Disc,1100,1118
2026-07-09,B,L4,Bearing Housing,900,909
2026-07-09,C,L1,Brake Disc,1000,984
2026-07-09,C,L2,Gear Housing,800,776
2026-07-09,C,L3,Brake Disc,1100,1062
2026-07-09,C,L4,Bearing Housing,900,887
2026-07-10,A,L1,Brake Disc,1000,985
2026-07-10,A,L2,Gear Housing,800,791
2026-07-10,A,L3,Brake Disc,1100,1076
2026-07-10,A,L4,Bearing Housing,900,885
2026-07-10,B,L1,Brake Disc,1000,1014
2026-07-10,B,L2,Gear Housing,800,801
2026-07-10,B,L3,Brake Disc,1100,1103
2026-07-10,B,L4,Bearing Housing,900,911
2026-07-10,C,L1,Brake Disc,1000,965
2026-07-10,C,L2,Gear Housing,800,782
2026-07-10,C,L3,Brake Disc,1100,1065
2026-07-10,C,L4,Bearing Housing,900,871
2026-07-11,A,L1,Brake Disc,1000,978
2026-07-11,A,L2,Gear Housing,800,789
2026-07-11,A,L3,Brake Disc,1100,1088
2026-07-11,A,L4,Bearing Housing,900,882
2026-07-11,B,L1,Brake Disc,1000,1001
2026-07-11,B,L2,Gear Housing,800,813
2026-07-11,B,L3,Brake Disc,1100,1110
2026-07-11,B,L4,Bearing Housing,900,904
2026-07-11,C,L1,Brake Disc,1000,975
2026-07-11,C,L2,Gear Housing,800,773
2026-07-11,C,L3,Brake Disc,1100,1070
2026-07-11,C,L4,Bearing Housing,900,878
2026-07-12,A,L1,Brake Disc,1000,986
2026-07-12,A,L2,Gear Housing,800,780
2026-07-12,A,L3,Brake Disc,1100,1092
2026-07-12,A,L4,Bearing Housing,900,876
2026-07-12,B,L1,Brake Disc,1000,1013
2026-07-12,B,L2,Gear Housing,800,810
2026-07-12,B,L3,Brake Disc,1100,1094
2026-07-12,B,L4,Bearing Housing,900,894
2026-07-12,C,L1,Brake Disc,1000,980
2026-07-12,C,L2,Gear Housing,800,780
2026-07-12,C,L3,Brake Disc,1100,1065
2026-07-12,C,L4,Bearing Housing,900,873
2026-07-13,A,L1,Brake Disc,1000,989
2026-07-13,A,L2,Gear Housing,800,780
2026-07-13,A,L3,Brake Disc,1100,1071
2026-07-13,A,L4,Bearing Housing,900,886
2026-07-13,B,L1,Brake Disc,1000,1011
2026-07-13,B,L2,Gear Housing,800,802
2026-07-13,B,L3,Brake Disc,1100,1095
2026-07-13,B,L4,Bearing Housing,900,911
2026-07-13,C,L1,Brake Disc,1000,969
2026-07-13,C,L2,Gear Housing,800,782
2026-07-13,C,L3,Brake Disc,1100,1077
2026-07-13,C,L4,Bearing Housing,900,877
2026-07-14,A,L1,Brake Disc,1000,996
2026-07-14,A,L2,Gear Housing,800,790
2026-07-14,A,L3,Brake Disc,1100,1092
2026-07-14,A,L4,Bearing Housing,900,879
2026-07-14,B,L1,Brake Disc,1000,1011
2026-07-14,B,L2,Gear Housing,800,795
2026-07-14,B,L3,Brake Disc,1100,1117
2026-07-14,B,L4,Bearing Housing,900,913
2026-07-14,C,L1,Brake Disc,1000,976
2026-07-14,C,L2,Gear Housing,800,779
2026-07-14,C,L3,Brake Disc,1100,1074
2026-07-14,C,L4,Bearing Housing,900,883
2026-07-15,A,L1,Brake Disc,1000,976
2026-07-15,A,L2,Gear Housing,800,790
2026-07-15,A,L3,Brake Disc,1100,1079
2026-07-15,A,L4,Bearing Housing,900,877
2026-07-15,B,L1,Brake Disc,1000,1000
2026-07-15,B,L2,Gear Housing,800,805
2026-07-15,B,L3,Brake Disc,1100,1108
2026-07-15,B,L4,Bearing Housing,900,911
2026-07-15,C,L1,Brake Disc,1000,982
2026-07-15,C,L2,Gear Housing,800,774
2026-07-15,C,L3,Brake Disc,1100,1077
2026-07-15,C,L4,Bearing Housing,900,884
2026-07-16,A,L1,Brake Disc,1000,989
2026-07-16,A,L2,Gear Housing,800,787
2026-07-16,A,L3,Brake Disc,1100,1073
2026-07-16,A,L4,Bearing Housing,900,877
2026-07-16,B,L1,Brake Disc,1000,1008
2026-07-16,B,L2,Gear Housing,800,805
2026-07-16,B,L3,Brake Disc,1100,1117
2026-07-16,B,L4,Bearing Housing,900,910
2026-07-16,C,L1,Brake Disc,1000,981
2026-07-16,C,L2,Gear Housing,800,778
2026-07-16,C,L3,Brake Disc,1100,1082
2026-07-16,C,L4,Bearing Housing,900,883
2026-07-17,A,L1,Brake Disc,1000,977
2026-07-17,A,L2,Gear Housing,800,791
2026-07-17,A,L3,Brake Disc,1100,1071
2026-07-17,A,L4,Bearing Housing,900,890
2026-07-17,B,L1,Brake Disc,1000,1002
2026-07-17,B,L2,Gear Housing,800,800
2026-07-17,B,L3,Brake Disc,1100,1114
2026-07-17,B,L4,Bearing Housing,900,915
2026-07-17,C,L1,Brake Disc,1000,966
2026-07-17,C,L2,Gear Housing,800,782
2026-07-17,C,L3,Brake Disc,1100,1069
2026-07-17,C,L4,Bearing Housing,900,887
2026-07-18,A,L1,Brake Disc,1000,994
2026-07-18,A,L2,Gear Housing,800,793
2026-07-18,A,L3,Brake Disc,1100,1071
2026-07-18,A,L4,Bearing Housing,900,893
2026-07-18,B,L1,Brake Disc,1000,996
2026-07-18,B,L2,Gear Housing,800,807
2026-07-18,B,L3,Brake Disc,1100,1105
2026-07-18,B,L4,Bearing Housing,900,904
2026-07-18,C,L1,Brake Disc,1000,978
2026-07-18,C,L2,Gear Housing,800,771
2026-07-18,C,L3,Brake Disc,1100,1080
2026-07-18,C,L4,Bearing Housing,900,888
2026-07-19,A,L1,Brake Disc,1000,989
2026-07-19,A,L2,Gear Housing,800,795
2026-07-19,A,L3,Brake Disc,1100,1089
2026-07-19,A,L4,Bearing Housing,900,893
2026-07-19,B,L1,Brake Disc,1000,1011
2026-07-19,B,L2,Gear Housing,800,795
2026-07-19,B,L3,Brake Disc,1100,1095
2026-07-19,B,L4,Bearing Housing,900,915
2026-07-19,C,L1,Brake Disc,1000,965
2026-07-19,C,L2,Gear Housing,800,782
2026-07-19,C,L3,Brake Disc,1100,1067
2026-07-19,C,L4,Bearing Housing,900,884
2026-07-20,A,L1,Brake Disc,1000,975
2026-07-20,A,L2,Gear Housing,800,779
2026-07-20,A,L3,Brake Disc,1100,1061
2026-07-20,A,L4,Bearing Housing,900,896
2026-07-20,B,L1,Brake Disc,1000,1004
2026-07-20,B,L2,Gear Housing,800,808
2026-07-20,B,L3,Brake Disc,1100,1089
2026-07-20,B,L4,Bearing Housing,900,908
2026-07-20,C,L1,Brake Disc,1000,963
2026-07-20,C,L2,Gear Housing,800,773
2026-07-20,C,L3,Brake Disc,1100,1041
2026-07-20,C,L4,Bearing Housing,900,880
2026-07-21,A,L1,Brake Disc,1000,997
2026-07-21,A,L2,Gear Housing,800,791
2026-07-21,A,L3,Brake Disc,1100,1081
2026-07-21,A,L4,Bearing Housing,900,877
2026-07-21,B,L1,Brake Disc,1000,1003
2026-07-21,B,L2,Gear Housing,800,796
2026-07-21,B,L3,Brake Disc,1100,1112
2026-07-21,B,L4,Bearing Housing,900,902
2026-07-21,C,L1,Brake Disc,1000,977
2026-07-21,C,L2,Gear Housing,800,772
2026-07-21,C,L3,Brake Disc,1100,1082
2026-07-21,C,L4,Bearing Housing,900,887
2026-07-22,A,L1,Brake Disc,1000,977
2026-07-22,A,L2,Gear Housing,800,784
2026-07-22,A,L3,Brake Disc,1100,1074
2026-07-22,A,L4,Bearing Housing,900,879
2026-07-22,B,L1,Brake Disc,1000,998
2026-07-22,B,L2,Gear Housing,800,808
2026-07-22,B,L3,Brake Disc,1100,1111
2026-07-22,B,L4,Bearing Housing,900,907
2026-07-22,C,L1,Brake Disc,1000,965
2026-07-22,C,L2,Gear Housing,800,782
2026-07-22,C,L3,Brake Disc,1100,1073
2026-07-22,C,L4,Bearing Housing,900,879
2026-07-23,A,L1,Brake Disc,1000,991
2026-07-23,A,L2,Gear Housing,800,796
2026-07-23,A,L3,Brake Disc,1100,1088
2026-07-23,A,L4,Bearing Housing,900,882
2026-07-23,B,L1,Brake Disc,1000,1015
2026-07-23,B,L2,Gear Housing,800,808
2026-07-23,B,L3,Brake Disc,1100,1114
2026-07-23,B,L4,Bearing Housing,900,894
2026-07-23,C,L1,Brake Disc,1000,972
2026-07-23,C,L2,Gear Housing,800,789
2026-07-23,C,L3,Brake Disc,1100,1071
2026-07-23,C,L4,Bearing Housing,900,886
2026-07-24,A,L1,Brake Disc,1000,989
2026-07-24,A,L2,Gear Housing,800,796
2026-07-24,A,L3,Brake Disc,1100,1074
