Date,Shift,Line,Product,Total Produced,Rejected Quantity,Defect Type
2026-07-06,A,L1,Brake Disc,997,17,Tool mark
2026-07-06,A,L2,Gear Housing,784,15,Surface
2026-07-06,A,L3,Brake Disc,1094,18,Tool mark
2026-07-06,A,L4,Bearing Housing,885,14,Dimension
2026-07-06,B,L1,Brake Disc,996,16,Dimension
2026-07-06,B,L2,Gear Housing,796,14,Surface
2026-07-06,B,L3,Brake Disc,1114,14,Tool mark
2026-07-06,B,L4,Bearing Housing,903,12,Surface
2026-07-06,C,L1,Brake Disc,986,16,Surface
2026-07-06,C,L2,Gear Housing,790,13,Dimension
2026-07-06,C,L3,Brake Disc,1076,19,Dimension
2026-07-06,C,L4,Bearing Housing,873,11,Material
2026-07-07,A,L1,Brake Disc,986,17,Tool mark
2026-07-07,A,L2,Gear Housing,794,14,Material
2026-07-07,A,L3,Brake Disc,1080,17,Tool mark
2026-07-07,A,L4,Bearing Housing,891,14,Material
2026-07-07,B,L1,Brake Disc,999,13,Tool mark
2026-07-07,B,L2,Gear Housing,811,11,Surface
2026-07-07,B,L3,Brake Disc,1100,15,Dimension
2026-07-07,B,L4,Bearing Housing,899,12,Tool mark
2026-07-07,C,L1,Brake Disc,974,16,Dimension
2026-07-07,C,L2,Gear Housing,784,10,Material
2026-07-07,C,L3,Brake Disc,1070,14,Surface
2026-07-07,C,L4,Bearing Housing,876,17,Dimension
2026-07-08,A,L1,Brake Disc,995,20,Tool mark
2026-07-08,A,L2,Gear Housing,793,15,Dimension
2026-07-08,A,L3,Brake Disc,1080,13,Tool mark
2026-07-08,A,L4,Bearing Housing,896,13,Tool mark
2026-07-08,B,L1,Brake Disc,996,20,Material
2026-07-08,B,L2,Gear Housing,803,14,Material
2026-07-08,B,L3,Brake Disc,1116,15,Tool mark
2026-07-08,B,L4,Bearing Housing,914,17,Surface
2026-07-08,C,L1,Brake Disc,977,13,Dimension
2026-07-08,C,L2,Gear Housing,776,14,Tool mark
2026-07-08,C,L3,Brake Disc,1085,21,Tool mark
2026-07-08,C,L4,Bearing Housing,872,17,Tool mark
2026-07-09,A,L1,Brake Disc,982,12,Surface
2026-07-09,A,L2,Gear Housing,785,10,Dimension
2026-07-09,A,L3,Brake Disc,1093,14,Tool mark
2026-07-09,A,L4,Bearing Housing,884,16,Dimension
2026-07-09,B,L1,Brake Disc,1000,16,Material
2026-07-09,B,L2,Gear Housing,813,12,Dimension
2026-07-09,B,L3,Brake Disc,1118,22,Dimension
2026-07-09,B,L4,Bearing Housing,909,12,Dimension
2026-07-09,C,L1,Brake Disc,984,13,Tool mark
2026-07-09,C,L2,Gear Housing,776,13,Dimension
2026-07-09,C,L3,Brake Disc,1062,16,Surface
2026-07-09,C,L4,Bearing Housing,887,13,Tool mark
2026-07-10,A,L1,Brake Disc,985,17,Material
2026-07-10,A,L2,Gear Housing,791,14,Dimension
